n:1 mse_avg:41.68 mse_y:61.78 mse_u:1.89 mse_v:1.07 psnr_avg:31.93 psnr_y:30.22 psnr_u:45.37 psnr_v:47.83 
n:2 mse_avg:45.04 mse_y:66.75 mse_u:2.10 mse_v:1.16 psnr_avg:31.59 psnr_y:29.89 psnr_u:44.90 psnr_v:47.49 
n:3 mse_avg:47.51 mse_y:70.42 mse_u:2.22 mse_v:1.19 psnr_avg:31.36 psnr_y:29.65 psnr_u:44.67 psnr_v:47.38 
n:4 mse_avg:52.13 mse_y:77.32 mse_u:2.31 mse_v:1.23 psnr_avg:30.96 psnr_y:29.25 psnr_u:44.49 psnr_v:47.22 
n:5 mse_avg:53.41 mse_y:79.19 mse_u:2.40 mse_v:1.30 psnr_avg:30.85 psnr_y:29.14 psnr_u:44.33 psnr_v:47.01 
n:6 mse_avg:55.46 mse_y:82.24 mse_u:2.41 mse_v:1.37 psnr_avg:30.69 psnr_y:28.98 psnr_u:44.30 psnr_v:46.77 
n:7 mse_avg:60.68 mse_y:89.97 mse_u:2.63 mse_v:1.57 psnr_avg:30.30 psnr_y:28.59 psnr_u:43.93 psnr_v:46.18 
n:8 mse_avg:62.74 mse_y:93.00 mse_u:2.73 mse_v:1.70 psnr_avg:30.16 psnr_y:28.45 psnr_u:43.77 psnr_v:45.83 
n:9 mse_avg:63.23 mse_y:93.68 mse_u:2.85 mse_v:1.80 psnr_avg:30.12 psnr_y:28.41 psnr_u:43.58 psnr_v:45.58 
n:10 mse_avg:64.05 mse_y:94.86 mse_u:2.97 mse_v:1.87 psnr_avg:30.07 psnr_y:28.36 psnr_u:43.40 psnr_v:45.41 
n:11 mse_avg:66.30 mse_y:98.19 mse_u:3.09 mse_v:1.96 psnr_avg:29.92 psnr_y:28.21 psnr_u:43.24 psnr_v:45.22 
n:12 mse_avg:67.52 mse_y:99.96 mse_u:3.23 mse_v:2.05 psnr_avg:29.84 psnr_y:28.13 psnr_u:43.04 psnr_v:45.02 
n:13 mse_avg:68.85 mse_y:101.97 mse_u:3.24 mse_v:2.03 psnr_avg:29.75 psnr_y:28.05 psnr_u:43.03 psnr_v:45.06 
n:14 mse_avg:68.16 mse_y:100.89 mse_u:3.33 mse_v:2.09 psnr_avg:29.80 psnr_y:28.09 psnr_u:42.90 psnr_v:44.92 
n:15 mse_avg:68.76 mse_y:101.76 mse_u:3.36 mse_v:2.18 psnr_avg:29.76 psnr_y:28.06 psnr_u:42.86 psnr_v:44.75 
n:16 mse_avg:71.90 mse_y:106.42 mse_u:3.47 mse_v:2.21 psnr_avg:29.56 psnr_y:27.86 psnr_u:42.73 psnr_v:44.68 
n:17 mse_avg:73.44 mse_y:108.68 mse_u:3.66 mse_v:2.25 psnr_avg:29.47 psnr_y:27.77 psnr_u:42.49 psnr_v:44.61 
n:18 mse_avg:75.04 mse_y:111.04 mse_u:3.73 mse_v:2.35 psnr_avg:29.38 psnr_y:27.68 psnr_u:42.42 psnr_v:44.42 
n:19 mse_avg:72.66 mse_y:107.46 mse_u:3.72 mse_v:2.39 psnr_avg:29.52 psnr_y:27.82 psnr_u:42.43 psnr_v:44.34 
n:20 mse_avg:72.39 mse_y:107.02 mse_u:3.79 mse_v:2.46 psnr_avg:29.53 psnr_y:27.84 psnr_u:42.34 psnr_v:44.21 
n:21 mse_avg:71.58 mse_y:105.81 mse_u:3.81 mse_v:2.44 psnr_avg:29.58 psnr_y:27.89 psnr_u:42.32 psnr_v:44.25 
n:22 mse_avg:72.40 mse_y:107.01 mse_u:3.85 mse_v:2.48 psnr_avg:29.53 psnr_y:27.84 psnr_u:42.28 psnr_v:44.18 
n:23 mse_avg:63.90 mse_y:94.33 mse_u:3.71 mse_v:2.36 psnr_avg:30.08 psnr_y:28.38 psnr_u:42.44 psnr_v:44.41 
n:24 mse_avg:62.13 mse_y:91.70 mse_u:3.67 mse_v:2.32 psnr_avg:30.20 psnr_y:28.51 psnr_u:42.49 psnr_v:44.48 
n:25 mse_avg:59.23 mse_y:87.40 mse_u:3.53 mse_v:2.25 psnr_avg:30.41 psnr_y:28.72 psnr_u:42.66 psnr_v:44.62 
n:26 mse_avg:47.26 mse_y:69.87 mse_u:2.46 mse_v:1.63 psnr_avg:31.39 psnr_y:29.69 psnr_u:44.22 psnr_v:46.01 
n:27 mse_avg:53.19 mse_y:78.72 mse_u:2.61 mse_v:1.68 psnr_avg:30.87 psnr_y:29.17 psnr_u:43.97 psnr_v:45.87 
n:28 mse_avg:54.49 mse_y:80.63 mse_u:2.68 mse_v:1.76 psnr_avg:30.77 psnr_y:29.07 psnr_u:43.85 psnr_v:45.68 
n:29 mse_avg:56.93 mse_y:84.26 mse_u:2.68 mse_v:1.84 psnr_avg:30.58 psnr_y:28.87 psnr_u:43.84 psnr_v:45.48 
n:30 mse_avg:58.46 mse_y:86.52 mse_u:2.78 mse_v:1.87 psnr_avg:30.46 psnr_y:28.76 psnr_u:43.69 psnr_v:45.41 
n:31 mse_avg:59.31 mse_y:87.73 mse_u:2.94 mse_v:2.01 psnr_avg:30.40 psnr_y:28.70 psnr_u:43.44 psnr_v:45.10 
n:32 mse_avg:60.83 mse_y:89.96 mse_u:3.03 mse_v:2.12 psnr_avg:30.29 psnr_y:28.59 psnr_u:43.32 psnr_v:44.87 
n:33 mse_avg:61.47 mse_y:90.89 mse_u:3.08 mse_v:2.16 psnr_avg:30.24 psnr_y:28.55 psnr_u:43.25 psnr_v:44.78 
n:34 mse_avg:61.72 mse_y:91.26 mse_u:3.12 mse_v:2.18 psnr_avg:30.23 psnr_y:28.53 psnr_u:43.18 psnr_v:44.75 
n:35 mse_avg:61.67 mse_y:91.17 mse_u:3.11 mse_v:2.18 psnr_avg:30.23 psnr_y:28.53 psnr_u:43.20 psnr_v:44.74 
n:36 mse_avg:62.38 mse_y:92.21 mse_u:3.18 mse_v:2.27 psnr_avg:30.18 psnr_y:28.48 psnr_u:43.11 psnr_v:44.58 
n:37 mse_avg:62.61 mse_y:92.56 mse_u:3.15 mse_v:2.28 psnr_avg:30.16 psnr_y:28.47 psnr_u:43.15 psnr_v:44.55 
n:38 mse_avg:64.67 mse_y:95.64 mse_u:3.18 mse_v:2.28 psnr_avg:30.02 psnr_y:28.32 psnr_u:43.11 psnr_v:44.55 
n:39 mse_avg:65.08 mse_y:96.22 mse_u:3.31 mse_v:2.28 psnr_avg:30.00 psnr_y:28.30 psnr_u:42.93 psnr_v:44.55 
n:40 mse_avg:59.33 mse_y:87.62 mse_u:3.25 mse_v:2.25 psnr_avg:30.40 psnr_y:28.70 psnr_u:43.01 psnr_v:44.61 
n:41 mse_avg:61.52 mse_y:90.89 mse_u:3.32 mse_v:2.28 psnr_avg:30.24 psnr_y:28.55 psnr_u:42.92 psnr_v:44.55 
